publisher,section,feed_name,feed_url,politics_bucket
donga,politics,donga_politics,https://rss.donga.com/politics.xml,conservative
donga,economy,donga_economy,https://rss.donga.com/economy.xml,
donga,society,donga_society,https://rss.donga.com/national.xml,
donga,international,donga_international,https://rss.donga.com/international.xml,
khan,politics,khan_politics,https://www.khan.co.kr/rss/rssdata/politic_news.xml,progressive
khan,economy,khan_economy,https://www.khan.co.kr/rss/rssdata/economy_news.xml,
khan,society,khan_society,https://www.khan.co.kr/rss/rssdata/society_news.xml,
khan,international,khan_international,https://www.khan.co.kr/rss/rssdata/kh_world.xml,
hani,politics,hani_politics,https://www.hani.co.kr/rss/politics/,progressive
hani,economy,hani_economy,https://www.hani.co.kr/rss/economy/,
hani,society,hani_society,https://www.hani.co.kr/rss/society/,
hani,international,hani_international,https://www.hani.co.kr/rss/international/,
yonhapnewstv,politics,yntv_politics,http://www.yonhapnewstv.co.kr/category/news/politics/feed/,centrist
yonhapnewstv,economy,yntv_economy,http://www.yonhapnewstv.co.kr/category/news/economy/feed/,
yonhapnewstv,society,yntv_society,http://www.yonhapnewstv.co.kr/category/news/society/feed/,
yonhapnewstv,international,yntv_international,http://www.yonhapnewstv.co.kr/category/news/international/feed/,
newsis,politics,newsis_politics,https://www.newsis.com/RSS/politics.xml,centrist
newsis,economy,newsis_economy,https://www.newsis.com/RSS/economy.xml,
newsis,society,newsis_society,https://www.newsis.com/RSS/society.xml,
newsis,international,newsis_international,https://www.newsis.com/RSS/international.xml,
